account,device_type,log_date,device,unit,value,comment
681e3c0c5571c3cd6e0f011e,aire_acondicionado,4381bdb2-15e6-11f0-920e-8108d9c100b4,e238bdbf-f420-5871-8b3d-316275c6bfa8,celsius,17.5,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,a1ef71b2-15cf-11f0-a804-d88b7580bd05,e238bdbf-f420-5871-8b3d-316275c6bfa8,kWh,0.825,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,5f9349b2-1569-11f0-b769-e2a0e3a867d0,e238bdbf-f420-5871-8b3d-316275c6bfa8,locacion,cocina,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,9765b5b2-1598-11f0-bd06-1d5056e560ac,e238bdbf-f420-5871-8b3d-316275c6bfa8,state,apagado,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,f13593b2-1536-11f0-94b3-9b21f73aeee2,e238bdbf-f420-5871-8b3d-316275c6bfa8,on_time,12:56,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,7de95bb2-15e2-11f0-b973-d3970533bdc6,aecb96dc-e1e7-5302-8544-7226e6cc1b2a,celsius,21.7,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,64f98fb2-157b-11f0-b624-c1186c3bbbb3,aecb96dc-e1e7-5302-8544-7226e6cc1b2a,kWh,2.231,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,94d083b2-15cb-11f0-9de1-ea818a97c018,aecb96dc-e1e7-5302-8544-7226e6cc1b2a,locacion,habitación principal,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,d5ec77b2-157a-11f0-8daa-9558693b5026,aecb96dc-e1e7-5302-8544-7226e6cc1b2a,state,standby,
681e3c0c5571c3cd6e0f011e,aire_acondicionado,c36055b2-15ef-11f0-be72-14ee91f5b0fd,aecb96dc-e1e7-5302-8544-7226e6cc1b2a,on_time,00:38,
681e3c0c5571c3cd6e0f011e,bombilla,2da5d5b2-15b1-11f0-a7da-7ad3f11e6fde,35f05722-66d7-5a18-858d-f8e0a1e18ca6,kWh,0.012,
681e3c0c5571c3cd6e0f011e,bombilla,46df5fb2-157a-11f0-9272-5310415bd0f9,35f05722-66d7-5a18-858d-f8e0a1e18ca6,state,error,
681e3c0c5571c3cd6e0f011e,bombilla,b124dfb2-153b-11f0-b655-5d18f2f4b713,35f05722-66d7-5a18-858d-f8e0a1e18ca6,on_time,05:03,
681e3c0c5571c3cd6e0f011e,bombilla,2acdd3b2-15f7-11f0-8c5b-a8225dd72198,b745aa53-e345-59f7-a2bb-b14ede3d9075,kWh,0.013,
681e3c0c5571c3cd6e0f011e,bombilla,ab74dbb2-15c7-11f0-a10a-e7b213e71f15,b745aa53-e345-59f7-a2bb-b14ede3d9075,state,encendido,
681e3c0c5571c3cd6e0f011e,bombilla,8313bfb2-157c-11f0-93a6-67471f99982c,b745aa53-e345-59f7-a2bb-b14ede3d9075,on_time,03:20,
681e3c0c5571c3cd6e0f011e,bombilla,dcdcafb2-15a5-11f0-9fb3-0780ad4e04e8,3878c764-2bc8-5277-a763-05724cdb4f95,kWh,0.012,
681e3c0c5571c3cd6e0f011e,bombilla,ed5251b2-15c8-11f0-8075-ab8f6bcb59d0,3878c764-2bc8-5277-a763-05724cdb4f95,state,encendido,
681e3c0c5571c3cd6e0f011e,bombilla,a27511b2-15a9-11f0-837b-ec889accae6a,3878c764-2bc8-5277-a763-05724cdb4f95,on_time,11:54,
681e3c0c5571c3cd6e0f011e,bombilla,e76d59b2-1551-11f0-90bf-590f1bcbe8e6,413c6fc6-2389-5298-a72f-eb77b769d460,kWh,0.008,
681e3c0c5571c3cd6e0f011e,bombilla,b37053b2-15a6-11f0-ac64-42114d925ab1,413c6fc6-2389-5298-a72f-eb77b769d460,state,standby,
681e3c0c5571c3cd6e0f011e,bombilla,1addd1b2-15ae-11f0-8c0b-97d893c6aed0,413c6fc6-2389-5298-a72f-eb77b769d460,on_time,00:32,
681e3c0c5571c3cd6e0f011e,bombilla,15778bb2-159c-11f0-b61f-e9049ff1b191,d1180f11-54fb-590b-9351-8c97f3d9ab8f,kWh,0.007,
